#1												
double data(17520, 13)												
0	0	0	0	0	1329.13	279.85	972.13	54.3	0	128.71	1309.09	4073.22
1800	0	0	0	0	1220.4	287.07	958.74	52.22	0	146.65	1236.36	3901.44
3600	0	0	0	0	1349.28	292.38	943.78	52.31	0	119.81	1163.64	3921.18
5400	0	0	0	0	1369.93	295.42	925.01	50.87	0	106.84	1090.91	3838.98
7200	0	0	0	0	1152.29	290.89	911.72	51.63	0	121.87	1018.18	3546.58
9000	0	0	0	0	1286.31	284.58	905.42	53.31	0	135.3	945.45	3610.37
10800	0	0	0	0	1359.89	277.49	901.61	51.06	0	122.9	872.73	3585.69
12600	0	0	0	0	1183.43	269.89	900.62	51.33	0	111.96	872.73	3389.95
14400	0	0	0	0	1159.43	459.78	899.39	50.26	0	127.96	872.73	3569.54
16200	143.12	0	0	0	1434.8	651.13	897.67	98.97	226.01	482.23	0	3933.93
18000	286.23	0	0	0	1737.5	585.36	933.99	149.23	452.02	794.24	0	4938.58
19800	429.35	393.9	326.77	44.19	3296.11	780.48	932.72	143.41	678.04	1004.48	0	8029.43
21600	572.47	481.43	653.53	88.37	1960.44	738.12	940.21	191.21	904.05	1339.31	0	7869.14
23400	299.05	583.55	980.3	132.56	4823.14	755.98	941.36	117.7	619.47	663.87	0	9916.98
25200	439.93	651.78	1307.07	176.74	3014.72	776.04	1012	148.66	838.19	1261.28	0	9626.43
27000	479.82	571.42	1051.23	160.03	3187.34	796.11	1028.91	159.63	834.67	1344.13	0	9613.29
28800	934.67	937.64	1977.19	232.83	5469.9	2429.78	1081.1	228.96	1156.46	2522.64	0	16971.17
30600	1040.3	1086.79	2171.49	253.17	5968.31	2665.79	1152.97	270.52	1387.31	2636.66	0	18633.31
32400	1052.95	1127.46	2194.42	295.03	6822.97	2946.73	1212.99	291.43	1424.59	2444.32	0	19812.89
34200	1077.4	1172.92	2239.79	330.96	7700.84	3121.23	1248.01	307.61	1454.37	2525.39	0	21178.5
36000	1105.49	1215.83	2290.59	348.45	7478.82	3233.88	1273.45	327.62	1483.15	2547.97	4000	25305.24
37800	1131.19	1252.17	2334.94	362.23	7594.74	3340.81	1295.62	347.46	1507.43	2698.41	1672.73	23537.72
39600	1144.17	1271.72	2354.85	397.56	8178.44	4000.71	1287.58	352.04	1517.22	2659.36	1454.55	24618.19
41400	1144.17	1272.64	2350.96	407.77	7768.38	3953.14	1272.46	358.97	1512.1	2658.25	1309.09	24007.94
43200	1028.84	1174.36	2108.09	401.8	7549.9	4062.15	1207.36	346.6	1395.33	2368.8	1309.09	22952.31
45000	1009.13	1149.93	2070.86	395.59	7831.8	4016.38	1158.17	346.16	1348.28	2567.68	1236.36	23130.35
46800	1123.63	1246.78	2310.13	388.06	7456.93	3902.42	1200.66	377.19	1445.26	2983.54	1163.64	23598.23
48600	1134.68	1263.28	2328.52	378.69	7378.39	3783.98	1220.51	368.85	1474.21	2919.16	1090.91	23341.18
50400	1134.98	1266.78	2327.55	382.48	7820.52	3697.35	1232.06	371.09	1483.91	2963.98	1018.18	23698.87
52200	1142.26	1271.39	2339.88	398.15	7588.38	3777.87	1260.4	368.62	1500.27	3034.9	945.45	23627.58
54000	1145.02	1270.16	2342.08	409.8	7772.8	3859.17	1281.25	364.16	1510.61	2926.57	872.73	23754.36
55800	1139.98	1259.65	2330.84	417.05	8325.91	3920.15	1295.25	358.3	1514.13	2657.66	872.73	24091.64
57600	1133.76	1247.83	2318.26	425.23	7953.28	4002.3	1313.23	348.37	1519.32	2684.71	872.73	23819.01
59400	1131.2	1242.48	2314.14	436.79	8066.6	4131.52	1336.79	348.63	1528.62	2671.43	0	23208.19
61200	813.69	967.21	1656.2	437.55	8033.71	4171.33	1306.77	295.18	1230.27	1973.31	0	20885.22
63000	735.2	861.15	1504.12	424.38	7307.5	4158.76	1271.37	235.13	1108.16	1742.12	0	19347.89
64800	466.58	545.89	951.59	379.11	7044.9	3776.82	1199.94	188.22	621.66	1032.73	0	16207.44
66600	407.99	474.98	835.71	353.15	7079.83	3660.39	1156.47	172.52	555.01	927.18	0	15623.23
68400	0	0	0	344.83	6157.12	3586.35	1135.19	54.92	0	124.43	0	11402.85
70200	0	0	0	338.99	6141.09	3541.69	1126.36	55.59	0	112.5	0	11316.22
72000	0	0	0	333.56	6019.84	3476.07	1099.67	53.5	0	126.89	0	11109.53
73800	0	0	0	326.92	5726.69	3273.12	1076.91	55.17	0	307.66	0	10766.46
75600	0	0	0	321.95	5075.24	3042.9	1066.05	53.09	0	122.41	0	9681.63
77400	0	0	0	318.6	4777.29	2872.76	1059.73	53.08	0	110.45	0	9191.91
79200	0	0	0	175.93	2361.75	959.06	1030.67	52.36	0	126.23	4000	8706.01
81000	0	0	0	137.68	2325.21	754.85	1005.24	52.67	0	144.74	1672.73	6093.12
82800	0	0	0	0	1318.61	227.63	966.52	52.9	0	121.75	1454.55	4141.96
84600	0	0	0	0	1148.13	254.93	940.54	53.8	0	109.59	1309.09	3816.07
86400	0	0	0	0	1279.3	279.35	933.33	51.36	0	124.6	1309.09	3977.02
88200	0	0	0	0	1237.55	300.71	925.98	50.72	0	143.28	1236.36	3894.6
90000	0	0	0	0	1257.18	312.93	922.94	51.72	0	120.57	1163.64	3828.99
91800	0	0	0	0	1287.42	318.8	922.8	53.4	0	108.51	1090.91	3781.85
93600	0	0	0	0	1293.2	314.53	922	51.41	0	124.21	1018.18	3723.52
95400	0	0	0	0	1387.56	300.89	919.97	51.6	0	143.49	945.45	3748.98
97200	0	0	0	0	1155.3	287.91	920.73	50.45	0	120.23	872.73	3407.34
99000	0	0	0	0	1298.05	278.86	925.78	51.74	0	108.32	872.73	3535.48
100800	0	0	0	0	1144.67	474.57	927.52	53.52	0	124.12	872.73	3597.12
102600	0	0	0	0	1373.07	672.17	925.8	51.35	0	143.67	0	3166.07
104400	0	0	0	0	1705.73	607.21	929.51	51.91	0	120.46	0	3414.83
106200	145.35	0	0	43.9	2174.51	809.61	938.19	98.97	232.5	432.31	0	4875.33
108000	290.69	0	0	87.8	1949.26	740.98	998.15	149.73	465	772.38	0	5453.99
109800	436.04	402.14	359.92	131.7	5535.61	754.2	1011.19	144.79	697.5	971.46	0	10444.55
111600	581.39	491.5	719.84	175.6	2836.36	763.01	1017.98	193.06	930	1295.28	0	9004
113400	315.65	595.76	1079.76	150.97	2734.08	774.89	1030.49	129.62	628.73	702.25	0	8142.2
115200	526.67	688.2	1439.68	273.13	5760.96	3014.99	1118.46	186.88	907.6	1305.6	0	15222.16
117000	609.65	744.28	1315.33	282.76	5746.42	3116.96	1153.07	212.69	915.93	1500.93	0	15598.01
118800	643.36	789	1354.52	307.25	6411.7	3320.98	1170.36	228.5	923.65	1570.15	0	16719.47
120600	673.4	835.96	1424.45	331.91	7166.25	3474.9	1190.95	254.91	944.65	1637.99	0	17935.38
